1.1 a,1.1 b,1.2 b,1.3 b,2.1 b,2.2 b,2.3 b,3.1b,3.2 b,3.3 b,4 b 
277,4.9,2.5,0,0,0.4,0,7.2,12.9,48.6,0
278,4.9,2.5,0,0,0.4,0,7.2,12.9,48.6,0
279,4.9,2.5,0,0,0.4,0,7.2,12.9,48.6,0
280,4.9,2.5,0,0,0.4,0,7.2,12.9,48.6,0
281,4.9,2.5,0,0,0.4,0,6.8,12.9,48.6,0
282,4.9,2.5,0,0,0.4,0,6.8,12.9,48.6,0
283,4.9,2.5,0,0,0.4,0,6.8,12.9,48.6,0
284,4.9,2.6,0,0,0.4,0,7.2,12.9,48.6,0
285,4.9,2.6,0,0,0.4,0,7.2,12.9,48.6,0
286,4.9,2.6,0,0,0.4,0,7.2,12.9,48.6,0
287,4.9,2.6,0,0,0.4,0,7.2,12.9,48.6,0
288,4.9,2.5,0,0,0.4,0,7.2,12.9,48.7,0
289,5,2.6,0,0,0.4,0,7.2,12.9,48.7,0
290,5.1,2.6,0,0,0.4,0,7.2,12.9,48.7,0
291,5.2,2.6,0,0,0.4,0,7.2,12.9,48.7,0
292,5.5,2.6,0,0,0.4,0,7.2,12.9,48.7,0
293,5.4,2.6,0,0,0.4,0,7.2,12.9,48.7,0
294,5.4,2.6,0,0,0.4,0,7.2,12.9,48.7,0
295,5.4,2.6,0,0,0.4,0,7.2,12.9,48.7,0
296,5.3,2.6,0,0,0.4,0,7.2,12.9,48.8,0
297,5.2,2.6,0,0,0.4,0,7.2,12.9,48.8,0
298,5.2,2.6,0,0,0.4,0,7.2,12.9,48.8,0
299,5.2,2.6,0,0,0.4,0,7.2,12.9,48.8,0
300,5.2,2.6,0,0,0.4,0,7.2,12.9,48.9,0
301,5.2,2.6,0,0,0.4,0,7.2,12.9,48.8,0
302,5.2,2.6,0,0,0.4,0,7.2,13,48.8,0
303,5.2,2.6,0,0,0.4,0,7.2,13,48.8,0
304,5.2,2.6,0,0,0.4,0,7.2,13,48.8,0
305,5.1,2.6,0,0,0.4,0,7.2,13,48.8,0
306,5,2.6,0,0,0.4,0,7.2,13,48.9,0
307,5,2.6,0,0,0.4,0,7.2,13,48.9,0
308,5.1,2.6,0,0,0.4,0,7.2,13,48.9,0
309,5.2,2.6,0,0,0.4,0,7.2,13,48.9,0
310,5.6,2.6,0,0,0.4,0,7.2,13,48.9,0
311,5.6,2.6,0,0,0.4,0,7.2,13,48.9,0
312,5.6,2.6,0,0,0.4,0,7.2,13,48.9,0
313,5.6,2.6,0,0,0.4,0,7.2,13,48.9,0
314,5.6,2.6,0,0,0.4,0,7.2,13,48.8,0
315,5.6,2.6,0,0,0.4,0,7.2,13,48.8,0
316,5.4,2.6,0,0,0.4,0,7.2,13,48.8,0
317,5.3,2.6,0,0,0.4,0,6.8,13,48.8,0
318,5.3,2.6,0,0,0.4,0,6.8,13,48.9,0
319,5.3,2.6,0,0,0.4,0,7.2,13,48.9,0
320,5.6,3.2,0.1,0.2,0.4,0,7.6,13.2,49,0.2
321,5.6,3,0,0,0.4,0,7.2,13.1,48.9,0
322,5.7,2.9,0,0,0.4,0,7.2,13.1,48.9,0
323,5.7,2.9,0,0,0.4,0,7.2,13.1,48.8,0
324,5.6,2.9,0,0,0.4,0,7.2,13.1,48.8,0
325,5.4,2.9,0,0,0.4,0,7.2,13.1,48.8,0
326,5.4,2.9,0,0,0.4,0,7.2,13.1,48.8,0
327,5.5,2.9,0,0,0.4,0,7.2,13.1,48.8,0
328,5.6,2.9,0,0,0.4,0,7.2,13.1,48.8,0
329,5.6,2.9,0,0,0.4,0,7.2,13.1,48.8,0
330,5.7,2.9,0,0,0.4,0,7.2,13.1,48.8,0
331,5.6,2.9,0,0,0.4,0,7.2,13.1,48.8,0
332,5.6,2.9,0,0,0.4,0,7.2,13.1,48.8,0
333,5.6,2.9,0,0,0.4,0,7.2,13.1,48.8,0
334,5.7,2.9,0,0,0.4,0,7.2,13.1,48.9,0
335,5.7,2.9,0,0,0.4,0,7.2,13.1,48.8,0
336,5.7,2.9,0,0,0.4,0,7.2,13.1,48.9,0
337,5.7,2.9,0,0,0.4,0,7.2,13.1,48.9,0
338,5.7,2.9,0,0,0.4,0,7.2,13.1,48.8,0
339,5.6,2.9,0,0,0.4,0,7.2,13.1,48.9,0
340,5.6,2.9,0,0,0.4,0,7.2,13.1,48.9,0
341,5.6,2.9,0,0,0.4,0,7.2,13.1,48.9,0
342,5.6,2.9,0,0,0.4,0,7.2,13.1,48.9,0
343,5.7,2.9,0,0,0.4,0,7.2,13.1,48.9,0
344,5.7,2.9,0,0,0.4,0,7.2,13.1,48.9,0
345,5.4,2.9,0,0,0.4,0,7.2,13.1,48.9,0
346,5.4,3,0,0,0.4,0,7.2,13.1,48.9,0
347,5.4,3,0,0,0.4,0,7.2,13.1,48.9,0
348,5.4,3,0,0,0.4,0,7.2,13.1,49,0
349,5.5,3.1,0,0,0.4,0,7.2,13.1,49,0
350,5.4,3.1,0,0,0.4,0,7.2,13.1,49,0
351,5.3,3.1,0,0,0.4,0,7.2,13.1,48.9,0
352,5.4,3.1,0,0,0.4,0,7.2,13.1,49,0
353,5.4,3.1,0,0,0.4,0,7.2,13.1,48.9,0
354,5.5,3.2,0,0,0.4,0,7.2,13.1,49,0
355,5.5,3.2,0,0,0.4,0,7.2,13.1,49,0
356,5.7,3.3,0,0,0.4,0,7.2,13.1,49,0
357,5.6,3.3,0,0,0.4,0,7.2,13.1,49,0
358,5.6,3.3,0,0,0.4,0,7.2,13.1,49.1,0
359,5.6,3.3,0,0,0.4,0,7.2,13.1,49,0
360,5.6,3.3,0,0,0.4,0,7.2,13.1,49.1,0
361,5.6,3.3,0,0,0.4,0,7.2,13.1,49,0
362,5.6,3.4,0,0,0.4,0,7.2,13.1,49,0
363,5.5,3.3,0,0,0.4,0,7.2,13.1,49,0
364,5.3,3.5,0,0,0.4,0,7.2,13.2,49,0
365,5.4,3.5,0,0,0.4,0,7.2,13.2,49,0
